id,category,title,mrp,description,photoUrl
24,curry,Matar paneer,220,"A delightful mix of green peas and paneer in a onion tomato gravy, garnished with fresh herbs","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/d934a1945d727ec2e72ac5fa71af2978"
25,curry,Gatte ki sabzi (curd gravy),180,"A flavorful dish of gram flour [besan] dumplings cooked in a spicy and aromatic sauce made with fresh tomato, curd and spices","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/39bf330ec1463ab903996a20d4a66aac"
26,curry,Aloo Jeera Dry,150,A simple yet flavorful dish of crispy potatoes sautéed with cumin and spices,
27,curry,Aloo Dum,170,"A rich and flavorful dish featuring tender potatoes in a spiced, aromatic gravy","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/19/5d061519-8897-4b62-a1d0-5a21f3a511e5_1c27047f-da91-4392-815e-220996bbc21d.jpg"
28,curry,Kadhai Paneer,260,Succulent paneer cooked in a onion and tomato based gravy with a in house special kadhai masala,
29,curry,Paneer Makhani,250,A creamy and indulgent curry with tender paneer cubes in a rich tomato-based gravy,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/19/c2989bc2-0e70-452f-9f8a-0326d3358d38_c7c6988c-f209-48da-bc2b-8f5af621d0ff.jpg"
30,curry,Bhurji Paneer,250,[250ml] A flavorful and creamy Indian curry featuring soft and crumbled paneer cooked with aromatic spices,
31,curry,Lauki Kofta,220,"Soft and flavorful bottle gourd dumplings in a rich, aromatic curry","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/b30fe67c-4c7c-47d5-a3eb-490450fba966_2004e3c7-b106-4ad5-8113-44b95bce7a00.jpg"
32,curry,Sev Tamatar,200,"A tangy and flavorful dish with a delicious tomato base, topped with crispy sev for the perfect crunch","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/7a4aa4f259ceb160a9520c3e13c55b4c"
33,curry,Baingan bharta,180,"A delicious and aromatic dish of eggplant burnt on gas and mixed with onion, tomato and garlic, perfect for a hearty meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/0f865225573fc200d2d72209f385eee0"
34,curry,Aloo tamatar,160,Mashed potatoes cooked in a tangy and spicy tomato gravy,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/40a84ae5be80722f6671932a0b34ffa2"
35,curry,Aloo Matar Dry,150,"A simple and flavorful stir fry of potatoes and peas, seasoned with aromatic spices",
36,curry,Bharwan Bhindi,140,[11-12 pieces] of in house made masala stuffed bhindi cooked in mustard oil,
37,curry,Baingan Tawa Fry,140,"Spiced and pan fried eggplant slices (6 thick slices) with a crispy, golden crust and smoky flavor",
38,curry,Aloo Capsicum Masala,180,Succulent potatoes and vibrant bell peppers cooked in a subtle dry masalas,
39,jain,Jain Matar Paneer,200,"A flavorful and aromatic curry made with paneer and green peas, prepared without onion and garlic for a pure Jain recipe","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/aa3ca9c6-6863-4bee-8111-4267e576cd61_f032ce9d-d188-49e1-8371-281be7649a2c.jpg"
40,jain,Jain Gatte Ki Sabzi,160,"[Jain Preperation] A rich and spicy curry made with gram flour dumplings, prepared without onion and garlic for a traditional Jain dish","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/19/0cf4ce28-6608-4a44-806e-9a11743eba9c_565189c2-dec9-4cc3-a9fa-31771d7a9980.jpg"
41,jain,Jain Aloo Jeera Dry,130,"A simple and flavorful dish of sautéed potatoes with cumin and aromatic spices, prepared without onion and garlic for a Jain-friendly option",
42,jain,Jain Aloo Tamatar,140,A flavorful and aromatic Jain delicacy featuring tender potatoes and tangy tomatoes,
43,jain,Jain Sev Ki Sabzi,160,"A delicious and tangy curry made with crispy sev and a blend of spices, prepared without onion and garlic for a Jain-friendly dish",
44,jain,Jain Dal Fry,140,"A wholesome and flavorful lentil dish, cooked with aromatic spices and prepared without onion and garlic for a traditional Jain recipe","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/267a6cd1-bdf9-4203-adea-fce9b8551811_cdeeda47-314e-44cf-a3a9-93b8f7377ef1.jpg"
45,jain,Jain Mixed Veg Daliya,160,"A wholesome and nutritious dish made from a mixture of vegetables, daliya and spices",
46,jain,Jain Kadhi Pakoda,140,"[jain preparation] A creamy and tangy yogurt-based curry with gram flour dumplings, prepared without onion and garlic for a pure Jain delicacy",
47,jain,Jain Bharwan Bhindi,100,A delectable Jain dish with perfectly stuffed okra that will tantalize your taste buds,
48,rice,Tehri,150,"Our Tehri is a flavorful and vibrant rice dish, cooked with mixed vegetables and aromatic spices for a satisfying meal",
49,rice,Mix veg daliya,160,"A wholesome and nutritious dish made from a mixture of vegetables, daliya, and spices","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/6b538fad36b48103c86de0c4e1b6f07c"
50,rice,Veg Fried Rice,160,"Our Veg Fried Rice is a vibrant mix of fresh vegetables and fragrant rice, stir-fried to perfection","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/cgjqvbt6sxfl18dbekrx"
51,rice,Ghee Rice,160,"Rich and aromatic, our Ghee Rice is a comforting dish infused with the goodness of ghee and delicate spices",
52,rice,Green peas pulao,160,"A fragrant and flavorful dish, our Green Pea Pulao combines tender rice with the freshness of green peas and aromatic spices",
53,rice,Jeera rice,130,A fragrant and flavorful rice dish made with ghee and jeera [cumin] and garnished with mint leaf to add a subtle flavor to the dish,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/7b814a8274cfdccef4e319b9bf3e3a72"
54,rice,Lemon rice with fried papadam,130,"Our lemon rice is a fragrant, flavorful dish with a tangy twist, perfectly blending spices and aromatic lemon zest","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/89fff643e2809f4447440c79f196c029"
55,rice,Bajra khichdi,150,"A wholesome and hearty dish, our Bajra Khichdi is a perfect blend of nutritious grains","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/60f2f9048cd6436ae46eaf94c13bf7d1"
56,rice,Steamed rice,70,"Simple and comforting, our steamed rice is the perfect accompaniment to any dish","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/8ec28d73e3a596a19ecbaaffb7a860c7"
57,rotis,1 Ghee Phulka,20,Crisp and light phulka that is perfect for a wholesome meal,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/a8d43fd1dead71c34eaef218139d2c89"
58,rotis,Chapati,20,"A soft and thin unleavened flatbread, perfect for pairing with curries and dals","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/f2152ea0dce6c059c12717aec1880382"
59,rotis,1 Paneer Paratha,85,"Flaky, golden-brown flatbread stuffed with creamy, spiced paneer goodness! This item is customizable","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2024/4/11/3bc27ec2-f452-43b9-880b-e6c5d9b11f91_2d9b1754-8264-4eb8-9351-434d92d74907.jpeg"
60,rotis,1 Aloo Paratha,75,"Crispy on the outside, soft and flavorful on the inside, with a perfect potato filling! This item is customizable",
61,rotis,Puri (2 Pcs),30,Crisp and golden delectable deep fried puris are a delightful addition to any meal,
62,rotis,1 Paratha,20,"A soft and wholesome flatbread made with whole wheat flour, perfect for any meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/df0aecaabfe90cfd0397f8cecf21bbef"
63,rotis,1 Lachha Paratha,30,"A flaky and layered flatbread made with whole wheat flour, offering a perfect balance of texture and taste",
64,beverages,Mithi Lassi,80,Sweet lassi flavoured with rose essence,
65,beverages,Mint Lime Mojito,90,A refreshing and zesty beverage bursting with the flavors of tangy lime and refreshing mint,
66,beverages,Blue Lemonade,90,A refreshing and vibrant citrus-infused beverage that is perfect for quenching your thirst on a hot day,
67,beverages,Angoori Shikanji,80,A refreshing and fruity Indian drink made with grapes and flavored with spices,
68,beverages,Anar Shikanji,80,A refreshing and tangy Indian drink bursting with the flavors of pomegranate and lemon,
69,beverages,Watermelon Mojito,80,"A refreshing and fruity beverage perfect for a hot summer day, bursting with the flavors of watermelon and mint",
70,beverages,Buttermilk,50,A light and tangy Buttermilk that will make your taste buds dance with joy! Swipe right to add item to cart,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/193939639deddea413280a3708637e3f"
71,beverages,Lime Water,50,Fresh sweet and salty lime water served with ice Swipe right to add item to cart,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2024/3/13/28e19fc4-4256-4294-807e-0ff8aa9a245f_d6893327-ec8d-4538-a36c-ba059ce47d1a.jpg"
72,beverages,Rooh Afza Sarbat,50,Ruhafza added in lime water and served with ice Swipe right to add item to cart,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2024/3/13/ee0d6ef7-7a9c-42d3-8d39-7023aff97d6d_dd1c5f5b-9038-4a9f-b9dc-a94712fe51b8.jpg"
73,sides,Aloo pakode [8 pieces],120,,
74,sides,Boondi Raita,60,"Boondi raita, a delightful blend of crispy boondi and creamy yogurt, adding a perfect crunch to your meal",
75,sides,Beetroot Raita,70,"A refreshing beetroot raita, combining creamy yogurt with the earthy sweetness of beetroot, topped with a flavorful tadka of peanut and curry leaf",
76,sides,Aloo Raita,70,"Aloo raita, perfectly balanced with potatoes, onion, and yogurt, topped with a flavorful tadka of curry leaf and peanut to complement any dish",
77,sides,Grated Cucumber Raita,50,"Cool and creamy cucumber raita, a refreshing side that perfectly complements any dish",
78,sides,Laccha Onion,40,"Crisp and tangy laccha onion, the perfect accompaniment to enhance any meal",
79,sides,Curd,20,Plain curd Swipe right to add item to cart,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/51e1b6199494089bb8be828721ad4807"
80,sides,Burani Raita,50,"Rich and creamy Burani raita, with a delightful garlic flavor to complement your meal",
81,sides,Roasted Papad,20,"Crisp and golden roasted papad, a perfect crunchy accompaniment to any meal",
82,sides,Mix Veg Raita,60,[Veg preparation] A cool and creamy yogurt dish loaded with fresh mixed vegetables and seasoned with aromatic spices,
83,snacks,Paneer Chilli,210,,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/19/ae16140d-bee1-4cea-934e-a7d0014174a3_4dae98ab-4d63-4ece-a15c-0bf9f208874f.jpg"
84,snacks,Paneer Kathi Roll,140,"A deliciously spiced paneer filling wrapped in a soft, warm wheat paratha for a perfect on-the-go meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/1743c74e0ac57c2837d9caf5b3e11a57"
85,snacks,Onion Pakoda,100,"Crispy fritters bursting with flavor and golden-brown perfection, ideal for any snack craving",
86,maggi,Chilli Cheese Garlic Maggi,100,"A flavorful and indulgent twist on the classic Maggi, featuring a rich cheese and garlic combination that will leave you craving for more",
87,maggi,Veg Fried Maggi,80,A tasty and vibrant stir-fry of Maggi noodles with a mix of fresh vegetables and spices,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/f7a264743c31d9482ab15a212f173ed0"
88,maggi,Cheese maggi,80,A delicious combination of maggi noodles and cheese,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/8f1101799e7b71bbdafd8ba49b399b50"
89,maggi,Chilli Lemon Maggi,80,"A zesty and tangy twist to the classic Maggi, bursting with flavors that are sure to tantalize your taste buds",
90,maggi,Plain Maggi,60,"A classic, simple, and delicious dish made with plain maggi noodles","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/b62abadf5f39cff3a90c71f24af01e4a"
91,desserts,Atta halwa,140,A traditional Indian sweet made with wheat flour and ghee,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/848e204684d2cacf337962e6b830081a"
92,desserts,Churma,130,"Churned tawa paratha drizzled wIth ghee and mixed with icing sugar, topped with dry fruits","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/8c6fded5a2e193eca0a394cf9f05ed39"
93,desserts,Semiya kheer,120,A delectable dessert made with vermicelli and milk,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/f6282e50e4169e14c0026e0f4a0e5f38"
94,sandwiches,Bombay Masala Sandwich,120,"Bombay masala sandwich is a classic combination of bread slices stuffed with a spicy mashed potato mix, bhujia, and green chutney topped with grated cheese","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/b9d183ffac6fdf1e00062c0e4aed56fa"
95,sandwiches,Chilli Cheese Toast,120,A deliciously crispy toast topped with a spicy mix of cheese and chili for the perfect flavor kick,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/eb0e77fc-984b-4d0c-a012-35d1d71c0a69_4decf027-2902-446f-b9e1-464f71493ea3.jpg"
96,sandwiches,Dahi Wala Sandwich,110,An indulgent sandwich with a rich and creamy dahi [yogurt] filling and crunchy toppings and tempered with curry leaves and mustard seeds,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/1e4f2e7ad17901a04142d44b6651c4e8"
97,tea,Ginger Tea,65,A soothing and aromatic brew with a perfect balance of spiciness and warmth,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/441550d9-9f22-4276-9626-738aa9bc0c20_35063f71-1f8a-41b8-88ec-9e4e73bd7ae5.jpg"
98,tea,Elaichi Tea,65,"A fragrant and refreshing blend of tea and cardamom, offering a calming and aromatic experience","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/18/484c6d26-cc3b-4490-91c6-fb8c69f0b6f1_a27badc8-705b-40f7-bf0d-d744ac09d018.jpg"
